qb_id,qb_name,qualifying_receivers,ypg_highs,tdpg_highs,ypg_lows,tdpg_lows,expected_equal,expected_seasons,elev_ypg_oe,elev_tdpg_oe,elev_blended,depr_ypg_oe,depr_tdpg_oe,depr_blended,net_ypg,net_tdpg,net_blended,yards_rate,td_rate,career_starts
00-0023645,Derek Anderson,12,5,1,4,3,3.7694444444444444,3.81765873015873,1.3097032378774491,0.26194064757548985,0.7858219427264694,1.0477625903019594,0.7858219427264695,0.9167922665142145,0.26194064757548974,-0.5238812951509797,-0.1309703237877451,0.4166666666666667,0.08333333333333333,53
00-0033873,Patrick Mahomes,15,4,4,6,5,4.85,5.843445443445443,0.684527653883853,0.684527653883853,0.684527653883853,1.0267914808257794,0.8556595673548162,0.9412255240902978,-0.3422638269419265,-0.17113191347096324,-0.25669787020644486,0.26666666666666666,0.26666666666666666,111
00-0026158,Joe Flacco,37,10,9,13,12,11.144444444444444,11.24478021978022,0.8893015074149179,0.8003713566734261,0.8448364320441719,1.1560919596393933,1.0671618088979014,1.1116268842686474,-0.2667904522244754,-0.2667904522244753,-0.2667904522244755,0.2702702702702703,0.24324324324324326,191
00-0022942,Philip Rivers,32,9,11,16,11,10.642857142857142,12.323268398268398,0.7303257308965723,0.8926203377624773,0.8114730343295248,1.2983568549272397,0.8926203377624773,1.0954885963448584,-0.5680311240306675,0.0,-0.2840155620153336,0.28125,0.34375,239
00-0023682,Ryan Fitzpatrick,40,9,8,11,12,12.416269841269841,10.273290598290599,0.8760581542877347,0.7787183593668753,0.827388256827305,1.0707377441294537,1.168077539050313,1.1194076415898833,-0.19467958984171896,-0.3893591796834378,-0.29201938476257827,0.225,0.2,145
00-0029567,Nick Foles,18,3,4,2,7,3.6456349206349206,3.32010212010212,0.9035866643486633,1.2047822191315511,1.0541844417401072,0.6023911095657756,2.1083688834802143,1.355379996522995,0.30119555478288773,-0.9035866643486632,-0.30119555478288773,0.16666666666666666,0.2222222222222222,57
00-0029701,Ryan Tannehill,35,6,7,11,9,10.085714285714285,10.355963480963482,0.5793763188745603,0.675939038686987,0.6276576787807737,1.062189917936694,0.8690644783118405,0.9656271981242672,-0.4828135990621337,-0.1931254396248535,-0.3379695193434935,0.17142857142857143,0.2,151
00-0023662,Matt Cassel,24,7,6,6,12,7.8,7.298387723387723,0.959115939753168,0.8220993769312869,0.8906076583422274,0.8220993769312869,1.6441987538625737,1.2331490653969304,0.13701656282188113,-0.8220993769312869,-0.34254140705470293,0.2916666666666667,0.25,82
00-0032950,Carson Wentz,24,4,5,7,7,6.253571428571428,6.6102314352314355,0.6051225345425373,0.7564031681781715,0.6807628513603544,1.0589644354494403,1.0589644354494403,1.0589644354494403,-0.453841900906903,-0.30256126727126875,-0.3782015840890859,0.16666666666666666,0.20833333333333334,94
00-0028986,Case Keenum,22,4,3,5,5,4.8313492063492065,3.913936063936064,1.0219891011651798,0.7664918258738849,0.8942404635195323,1.2774863764564748,1.2774863764564748,1.2774863764564748,-0.25549727529129496,-0.5109945505825899,-0.38324591293694243,0.18181818181818182,0.13636363636363635,64
